Company,Job Title,Job Link,Location,Posting Date,Days Since Posted,Function,Seniority,Company_Group,Product_Focus,Product_Focus_Tokens,Primary_Skill,Extracted_Skills,Relevancy_to_Actian,Trend_Score,First_Seen,Last_Seen,product_area,Description
Nexora,"Director of AI, Platform",https://careers.nexora.io/jobs/11,"Austin, TX",2026-03-24,29,AI/ML & Vector,Director+,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,8.0,0.77,2026-03-24,2026-03-24,AI Data Fabric,
Nexora,"SWE II, Backend",https://careers.nexora.io/jobs/12,"New York, NY",2026-02-04,77,Engineering,IC,AI Data Fabric,Backend Systems,backend_systems,Backend Systems,Backend Systems,6.3,2.29,2026-01-28,2026-02-08,AI Data Fabric,
Nexora,"Director of Engineering, Platform",https://careers.nexora.io/jobs/13,"New York, NY",2026-01-24,88,Engineering,Director+,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.9,2.11,2026-01-20,2026-01-29,AI Data Fabric,
Nexora,"Principal Engineer, Distributed Systems",https://careers.nexora.io/jobs/14,"Chicago, IL",2026-04-01,21,Engineering,Principal/Staff,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,9.5,2.67,2026-03-28,2026-04-05,AI Data Fabric,
Nexora,"Director of Enterprise Sales, EMEA",https://careers.nexora.io/jobs/15,Remote,2026-01-31,81,Sales,Director+,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,11.2,2.02,2026-01-28,2026-02-01,AI Data Fabric,
Nexora,"Software Engineer II, Backend",https://careers.nexora.io/jobs/16,"Boston, MA",2026-02-04,77,Engineering,IC,AI Data Fabric,Backend Systems,backend_systems,Backend Systems,Backend Systems,6.5,0.84,2026-01-30,2026-02-06,AI Data Fabric,
Nexora,"Senior Engineer, APIs & Integrations",https://careers.nexora.io/jobs/17,"Chicago, IL",2026-04-11,11,Engineering,Senior,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,15.1,3.43,2026-04-09,2026-04-12,AI Data Fabric,
Nexora,"AI Product Engineer, LLM Features",https://careers.nexora.io/jobs/18,"London, UK",2026-02-13,68,AI/ML & Vector,IC,AI Data Fabric,Vector / AI,vector___ai,Vector,Vector / AI,8.8,1.14,2026-02-10,2026-02-18,AI Data Fabric,
Nexora,"Engineering Manager, Core Platform",https://careers.nexora.io/jobs/19,"Chicago, IL",2026-02-14,67,Engineering,Manager,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,9.7,1.17,2026-02-09,2026-02-14,AI Data Fabric,
Nexora,"Staff ML Engineer, Model Infrastructure",https://careers.nexora.io/jobs/20,"New York, NY",2026-04-21,1,AI/ML & Vector,Principal/Staff,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,8.4,0.68,2026-04-20,2026-04-21,AI Data Fabric,
Nexora,"Solutions Engineer, Enterprise",https://careers.nexora.io/jobs/21,"Berlin, Germany",2026-03-17,36,Solution Engineering,IC,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,14.5,2.12,2026-03-10,2026-03-18,AI Data Fabric,
Nexora,Commercial Account Executive,https://careers.nexora.io/jobs/22,"New York, NY",2026-04-09,13,Sales,IC,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.8,1.56,2026-04-03,2026-04-12,AI Data Fabric,
Nexora,"Solutions Engineer, Enterprise",https://careers.nexora.io/jobs/23,"Denver, CO",2026-04-14,8,Solution Engineering,IC,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,15.0,2.9,2026-04-13,2026-04-15,AI Data Fabric,
Nexora,"Director of Engineering, Platform",https://careers.nexora.io/jobs/24,"Denver, CO",2026-04-04,18,Engineering,Director+,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,9.9,1.89,2026-04-03,2026-04-07,AI Data Fabric,
Nexora,VP of Product,https://careers.nexora.io/jobs/25,"Berlin, Germany",2026-04-15,7,Product Management,Director+,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,11.5,3.01,2026-04-14,2026-04-16,AI Data Fabric,
Nexora,"Senior Software Engineer, Data Pipelines",https://careers.nexora.io/jobs/26,"Denver, CO",2026-03-25,28,Engineering,Senior,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,15.3,0.99,2026-03-25,2026-03-28,AI Data Fabric,
Nexora,"Senior Software Engineer, Data Pipelines",https://careers.nexora.io/jobs/27,"Amsterdam, Netherlands",2026-02-26,55,Engineering,Senior,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,14.8,1.96,2026-02-23,2026-02-28,AI Data Fabric,
Nexora,"Senior Software Engineer, Data Platform",https://careers.nexora.io/jobs/28,"San Francisco, CA",2026-03-12,41,Engineering,Senior,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,9.6,1.93,2026-03-10,2026-03-12,AI Data Fabric,
Nexora,"Data Analyst, Revenue Operations",https://careers.nexora.io/jobs/29,"London, UK",2026-04-13,9,Data/Analytics,IC,AI Data Fabric,Data/Analytics,data_analytics,Data,Data/Analytics,3.6,3.09,2026-04-07,2026-04-13,AI Data Fabric,
Nexora,"Senior CSM, Enterprise Accounts",https://careers.nexora.io/jobs/30,"New York, NY",2026-02-01,80,Customer Success,Senior,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.3,2.25,2026-01-27,2026-02-03,AI Data Fabric,
Nexora,"Engineering Manager, Core Platform",https://careers.nexora.io/jobs/31,"Denver, CO",2026-03-19,34,Engineering,Manager,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,9.8,2.44,2026-03-12,2026-03-21,AI Data Fabric,
Nexora,Customer Success Manager,https://careers.nexora.io/jobs/32,"London, UK",2026-02-22,59,Customer Success,IC,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,11.5,3.49,2026-02-21,2026-02-26,AI Data Fabric,
Nexora,"Principal Engineer, Distributed Systems",https://careers.nexora.io/jobs/33,"New York, NY",2026-03-08,45,Engineering,Principal/Staff,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,11.3,1.61,2026-03-06,2026-03-11,AI Data Fabric,
Nexora,"Principal PM, Developer Experience",https://careers.nexora.io/jobs/34,"Berlin, Germany",2026-02-02,79,Product Management,Principal/Staff,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.6,2.5,2026-01-29,2026-02-07,AI Data Fabric,
Nexora,"SWE II, Backend",https://careers.nexora.io/jobs/35,"New York, NY",2026-04-07,15,Engineering,IC,AI Data Fabric,Backend Systems,backend_systems,Backend Systems,Backend Systems,7.0,0.97,2026-04-03,2026-04-11,AI Data Fabric,
Nexora,"Engineering Manager, Core Platform",https://careers.nexora.io/jobs/36,"Berlin, Germany",2026-01-24,88,Engineering,Manager,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,11.2,2.02,2026-01-20,2026-01-24,AI Data Fabric,
Nexora,"SWE, Frontend",https://careers.nexora.io/jobs/37,"San Francisco, CA",2026-04-16,6,Engineering,IC,AI Data Fabric,UI/UX,ui_ux,UI,UI/UX,1.7,0.89,2026-04-12,2026-04-17,AI Data Fabric,
Nexora,"Director of Enterprise Sales, EMEA",https://careers.nexora.io/jobs/38,"San Francisco, CA",2026-02-09,72,Sales,Director+,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,9.7,3.34,2026-02-07,2026-02-13,AI Data Fabric,
Nexora,"Engineering Manager, Core Platform",https://careers.nexora.io/jobs/39,"Austin, TX",2026-02-25,56,Engineering,Manager,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,9.6,1.59,2026-02-25,2026-02-27,AI Data Fabric,
Nexora,"Senior Engineer, APIs & Integrations",https://careers.nexora.io/jobs/40,"Amsterdam, Netherlands",2026-03-07,46,Engineering,Senior,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,15.3,1.72,2026-03-05,2026-03-08,AI Data Fabric,
Nexora,Senior Solutions Consultant,https://careers.nexora.io/jobs/41,"Austin, TX",2026-04-18,4,Solution Engineering,Senior,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,11.0,1.5,2026-04-12,2026-04-22,AI Data Fabric,
Nexora,Senior Solutions Consultant,https://careers.nexora.io/jobs/42,"New York, NY",2026-04-01,21,Solution Engineering,Senior,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.3,0.62,2026-03-25,2026-04-02,AI Data Fabric,
Nexora,"Senior Software Engineer, Data Pipelines",https://careers.nexora.io/jobs/43,"Seattle, WA",2026-03-13,40,Engineering,Senior,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,13.9,2.48,2026-03-07,2026-03-15,AI Data Fabric,
Nexora,"Staff Engineer, Infrastructure",https://careers.nexora.io/jobs/44,"Berlin, Germany",2026-03-08,45,Engineering,Principal/Staff,AI Data Fabric,Cloud Infra,cloud_infra,Cloud Infra,Cloud Infra,5.5,2.54,2026-03-03,2026-03-08,AI Data Fabric,
Nexora,"Principal Engineer, Distributed Systems",https://careers.nexora.io/jobs/45,Remote,2026-02-06,75,Engineering,Principal/Staff,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,9.6,2.29,2026-02-01,2026-02-11,AI Data Fabric,
Nexora,Commercial Account Executive,https://careers.nexora.io/jobs/46,"London, UK",2026-03-03,50,Sales,IC,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,9.9,0.63,2026-02-25,2026-03-03,AI Data Fabric,
Nexora,"Staff ML Engineer, Model Infrastructure",https://careers.nexora.io/jobs/47,"New York, NY",2026-02-25,56,AI/ML & Vector,Principal/Staff,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,8.9,3.26,2026-02-20,2026-03-02,AI Data Fabric,
Nexora,Technical Presales Engineer,https://careers.nexora.io/jobs/48,"Denver, CO",2026-01-26,86,Solution Engineering,IC,AI Data Fabric,Data Governance,data_governance,Data Governance,Data Governance,12.7,2.59,2026-01-24,2026-01-27,AI Data Fabric,
Nexora,"Software Engineer, Frontend",https://careers.nexora.io/jobs/49,"London, UK",2026-02-02,79,Engineering,IC,AI Data Fabric,UI/UX,ui_ux,UI,UI/UX,1.6,2.14,2026-02-02,2026-02-04,AI Data Fabric,
Nexora,"SWE, Frontend",https://careers.nexora.io/jobs/50,"Chicago, IL",2026-02-21,60,Engineering,IC,AI Data Fabric,UI/UX,ui_ux,UI,UI/UX,1.9,1.14,2026-02-14,2026-02-26,AI Data Fabric,
Nexora,"Staff Engineer, Infrastructure",https://careers.nexora.io/jobs/51,"Berlin, Germany",2026-02-15,66,Engineering,Principal/Staff,AI Data Fabric,Cloud Infra,cloud_infra,Cloud Infra,Cloud Infra,5.8,1.51,2026-02-12,2026-02-20,AI Data Fabric,
Nexora,"Senior Engineer, APIs & Integrations",https://careers.nexora.io/jobs/52,"San Francisco, CA",2026-04-18,4,Engineering,Senior,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,14.0,1.93,2026-04-17,2026-04-21,AI Data Fabric,
Nexora,Site Reliability Engineer,https://careers.nexora.io/jobs/53,"Denver, CO",2026-01-22,90,Engineering,IC,AI Data Fabric,Cloud Infra,cloud_infra,Cloud Infra,Cloud Infra,5.5,1.23,2026-01-22,2026-01-22,AI Data Fabric,
Nexora,Senior Sales Engineer,https://careers.nexora.io/jobs/54,"Amsterdam, Netherlands",2026-01-22,90,Sales,Senior,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,14.4,2.17,2026-01-21,2026-01-25,AI Data Fabric,
Nexora,"Senior Software Engineer, Data Pipelines",https://careers.nexora.io/jobs/55,"London, UK",2026-02-24,57,Engineering,Senior,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,15.1,3.18,2026-02-18,2026-02-28,AI Data Fabric,
Nexora,"SWE II, Backend",https://careers.nexora.io/jobs/56,Remote,2026-02-23,58,Engineering,IC,AI Data Fabric,Backend Systems,backend_systems,Backend Systems,Backend Systems,7.0,3.02,2026-02-19,2026-02-27,AI Data Fabric,
Nexora,"Staff ML Engineer, Model Infrastructure",https://careers.nexora.io/jobs/57,"New York, NY",2026-02-24,57,AI/ML & Vector,Principal/Staff,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,8.4,1.2,2026-02-19,2026-02-26,AI Data Fabric,
Nexora,Product Marketing Manager,https://careers.nexora.io/jobs/58,"Seattle, WA",2026-04-02,20,Marketing,IC,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.3,0.96,2026-03-30,2026-04-02,AI Data Fabric,
Nexora,"Engineering Manager, Core Platform",https://careers.nexora.io/jobs/59,"San Francisco, CA",2026-02-27,54,Engineering,Manager,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,9.9,1.76,2026-02-27,2026-03-03,AI Data Fabric,
Nexora,"Senior Software Engineer, Data Platform",https://careers.nexora.io/jobs/60,"Denver, CO",2026-03-14,39,Engineering,Senior,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,11.2,3.36,2026-03-08,2026-03-18,AI Data Fabric,
Nexora,"Director of Enterprise Sales, EMEA",https://careers.nexora.io/jobs/61,"Seattle, WA",2026-02-18,63,Sales,Director+,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.0,1.96,2026-02-12,2026-02-20,AI Data Fabric,
Nexora,"Director of AI, Platform",https://careers.nexora.io/jobs/62,"Austin, TX",2026-02-21,60,AI/ML & Vector,Director+,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,9.0,2.1,2026-02-15,2026-02-25,AI Data Fabric,
Nexora,Senior Machine Learning Engineer,https://careers.nexora.io/jobs/63,"Denver, CO",2026-01-29,83,AI/ML & Vector,Senior,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,7.3,1.89,2026-01-29,2026-01-31,AI Data Fabric,
Nexora,"Senior Engineer, APIs & Integrations",https://careers.nexora.io/jobs/64,"Boston, MA",2026-03-11,42,Engineering,Senior,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,15.0,1.64,2026-03-05,2026-03-13,AI Data Fabric,
Nexora,"Group Product Manager, Enterprise",https://careers.nexora.io/jobs/65,"San Francisco, CA",2026-02-11,70,Product Management,Manager,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,11.5,1.55,2026-02-10,2026-02-16,AI Data Fabric,
Nexora,"Senior Software Engineer, Data Platform",https://careers.nexora.io/jobs/66,"San Francisco, CA",2026-03-27,26,Engineering,Senior,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.7,1.22,2026-03-20,2026-04-01,AI Data Fabric,
Nexora,"Senior Engineer, APIs & Integrations",https://careers.nexora.io/jobs/67,Remote,2026-01-22,90,Engineering,Senior,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,15.0,1.0,2026-01-21,2026-01-23,AI Data Fabric,
Nexora,"Data Analyst, Revenue Operations",https://careers.nexora.io/jobs/68,"London, UK",2026-03-13,40,Data/Analytics,IC,AI Data Fabric,Data/Analytics,data_analytics,Data,Data/Analytics,4.9,3.37,2026-03-07,2026-03-18,AI Data Fabric,
Nexora,Site Reliability Engineer,https://careers.nexora.io/jobs/69,Remote,2026-04-08,14,Engineering,IC,AI Data Fabric,Cloud Infra,cloud_infra,Cloud Infra,Cloud Infra,6.2,2.3,2026-04-07,2026-04-12,AI Data Fabric,
Nexora,"Regional Vice President, Sales",https://careers.nexora.io/jobs/70,"Boston, MA",2026-01-27,85,Sales,Director+,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,9.6,2.44,2026-01-27,2026-01-30,AI Data Fabric,
Nexora,"Product Manager, Core Platform",https://careers.nexora.io/jobs/71,"Berlin, Germany",2026-03-06,47,Product Management,IC,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,11.3,1.88,2026-03-04,2026-03-09,AI Data Fabric,
Nexora,"Director of Engineering, Platform",https://careers.nexora.io/jobs/72,"Amsterdam, Netherlands",2026-02-02,79,Engineering,Director+,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,11.0,1.89,2026-01-29,2026-02-04,AI Data Fabric,
Nexora,"Solutions Engineer, Enterprise",https://careers.nexora.io/jobs/73,"Seattle, WA",2026-02-23,58,Solution Engineering,IC,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,15.0,2.21,2026-02-17,2026-02-25,AI Data Fabric,
Nexora,"Engineering Manager, Core Platform",https://careers.nexora.io/jobs/74,"Seattle, WA",2026-02-18,63,Engineering,Manager,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.2,1.28,2026-02-14,2026-02-22,AI Data Fabric,
Nexora,"Regional Vice President, Sales",https://careers.nexora.io/jobs/75,"Seattle, WA",2026-02-14,67,Sales,Director+,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,9.7,2.66,2026-02-07,2026-02-18,AI Data Fabric,
Nexora,Strategic Account Manager,https://careers.nexora.io/jobs/76,"Chicago, IL",2026-01-29,83,Sales,Senior,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.4,0.55,2026-01-25,2026-01-30,AI Data Fabric,
Nexora,"Senior Engineer, APIs & Integrations",https://careers.nexora.io/jobs/77,"London, UK",2026-01-27,85,Engineering,Senior,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,14.2,2.16,2026-01-22,2026-01-30,AI Data Fabric,
Nexora,Design Systems Lead,https://careers.nexora.io/jobs/78,"Chicago, IL",2026-03-07,46,Design,Principal/Staff,AI Data Fabric,UI/UX,ui_ux,UI,UI/UX,1.5,1.25,2026-03-06,2026-03-12,AI Data Fabric,
Nexora,"Staff Engineer, Infrastructure",https://careers.nexora.io/jobs/79,"Seattle, WA",2026-03-28,25,Engineering,Principal/Staff,AI Data Fabric,Cloud Infra,cloud_infra,Cloud Infra,Cloud Infra,6.0,1.33,2026-03-24,2026-03-28,AI Data Fabric,
Nexora,"Director of Product, AI Features",https://careers.nexora.io/jobs/80,"Austin, TX",2026-03-06,47,Product Management,Director+,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,7.6,2.62,2026-03-04,2026-03-08,AI Data Fabric,
Nexora,"Senior Software Engineer, Data Platform",https://careers.nexora.io/jobs/81,"Austin, TX",2026-01-22,90,Engineering,Senior,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.8,2.76,2026-01-21,2026-01-22,AI Data Fabric,
Nexora,Data Science Manager,https://careers.nexora.io/jobs/82,"Boston, MA",2026-02-24,57,AI/ML & Vector,Manager,AI Data Fabric,Data/Analytics,data_analytics,Data,Data/Analytics,3.9,0.65,2026-02-17,2026-02-24,AI Data Fabric,
Nexora,"Group Product Manager, Enterprise",https://careers.nexora.io/jobs/83,"London, UK",2026-04-12,10,Product Management,Manager,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.8,0.66,2026-04-10,2026-04-16,AI Data Fabric,
Nexora,Customer Success Manager,https://careers.nexora.io/jobs/84,"Amsterdam, Netherlands",2026-04-06,16,Customer Success,IC,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,11.0,2.32,2026-04-03,2026-04-10,AI Data Fabric,
Nexora,"Senior Software Engineer, Data Pipelines",https://careers.nexora.io/jobs/85,"Denver, CO",2026-02-05,76,Engineering,Senior,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,14.1,2.36,2026-02-04,2026-02-06,AI Data Fabric,
Nexora,"Applied Scientist, NLP",https://careers.nexora.io/jobs/86,"Seattle, WA",2026-04-01,21,AI/ML & Vector,Senior,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,7.3,0.73,2026-04-01,2026-04-04,AI Data Fabric,
Nexora,Data Science Manager,https://careers.nexora.io/jobs/87,"Seattle, WA",2026-04-17,5,AI/ML & Vector,Manager,AI Data Fabric,Data/Analytics,data_analytics,Data,Data/Analytics,4.1,1.35,2026-04-10,2026-04-17,AI Data Fabric,
Nexora,"Applied Scientist, NLP",https://careers.nexora.io/jobs/88,"New York, NY",2026-02-26,55,AI/ML & Vector,Senior,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,8.1,2.44,2026-02-22,2026-02-27,AI Data Fabric,
Nexora,"SWE II, Backend",https://careers.nexora.io/jobs/89,"London, UK",2026-02-04,77,Engineering,IC,AI Data Fabric,Backend Systems,backend_systems,Backend Systems,Backend Systems,7.3,1.82,2026-01-28,2026-02-09,AI Data Fabric,
Nexora,"SWE, Frontend",https://careers.nexora.io/jobs/90,"Amsterdam, Netherlands",2026-02-16,65,Engineering,IC,AI Data Fabric,UI/UX,ui_ux,UI,UI/UX,2.0,0.74,2026-02-16,2026-02-19,AI Data Fabric,
Nexora,"Director of Enterprise Sales, EMEA",https://careers.nexora.io/jobs/91,"New York, NY",2026-04-18,4,Sales,Director+,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.0,2.52,2026-04-18,2026-04-22,AI Data Fabric,
Nexora,VP of Product,https://careers.nexora.io/jobs/92,"Chicago, IL",2026-03-30,23,Product Management,Director+,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.5,1.83,2026-03-26,2026-03-31,AI Data Fabric,
Nexora,Senior UX Designer,https://careers.nexora.io/jobs/93,"Chicago, IL",2026-04-10,12,Design,Senior,AI Data Fabric,UI/UX,ui_ux,UI,UI/UX,1.7,1.5,2026-04-09,2026-04-11,AI Data Fabric,
Nexora,"Senior Software Engineer, Data Pipelines",https://careers.nexora.io/jobs/94,"Denver, CO",2026-01-27,85,Engineering,Senior,AI Data Fabric,ETL/Integration,etl_integration,ETL,ETL/Integration,15.1,2.15,2026-01-20,2026-01-27,AI Data Fabric,
Nexora,"Engineering Manager, Core Platform",https://careers.nexora.io/jobs/95,"Amsterdam, Netherlands",2026-03-01,52,Engineering,Manager,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,11.1,0.5,2026-02-22,2026-03-04,AI Data Fabric,
Nexora,"Director of Engineering, Platform",https://careers.nexora.io/jobs/96,"Chicago, IL",2026-02-01,80,Engineering,Director+,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.8,2.78,2026-01-29,2026-02-03,AI Data Fabric,
Nexora,"Applied Scientist, NLP",https://careers.nexora.io/jobs/97,"Chicago, IL",2026-01-22,90,AI/ML & Vector,Senior,AI Data Fabric,AI/ML Pipeline,ai_ml_pipeline,AI,AI/ML Pipeline,7.2,3.42,2026-01-19,2026-01-27,AI Data Fabric,
Nexora,"Director of Engineering, Platform",https://careers.nexora.io/jobs/98,"Denver, CO",2026-02-10,71,Engineering,Director+,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,9.7,3.48,2026-02-09,2026-02-13,AI Data Fabric,
Nexora,"Senior CSM, Enterprise Accounts",https://careers.nexora.io/jobs/99,"Amsterdam, Netherlands",2026-03-15,38,Customer Success,Senior,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.9,1.75,2026-03-08,2026-03-18,AI Data Fabric,
Nexora,"Director of Engineering, Platform",https://careers.nexora.io/jobs/100,"Seattle, WA",2026-03-03,50,Engineering,Director+,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,11.3,2.02,2026-03-01,2026-03-03,AI Data Fabric,
Nexora,"SWE, Frontend",https://careers.nexora.io/jobs/101,Remote,2026-02-16,65,Engineering,IC,AI Data Fabric,UI/UX,ui_ux,UI,UI/UX,2.6,1.35,2026-02-12,2026-02-20,AI Data Fabric,
Nexora,Data Science Manager,https://careers.nexora.io/jobs/102,"Amsterdam, Netherlands",2026-02-23,58,AI/ML & Vector,Manager,AI Data Fabric,Data/Analytics,data_analytics,Data,Data/Analytics,4.5,1.5,2026-02-17,2026-02-26,AI Data Fabric,
Nexora,"Senior CSM, Enterprise Accounts",https://careers.nexora.io/jobs/103,"Denver, CO",2026-02-07,74,Customer Success,Senior,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,10.0,2.83,2026-02-07,2026-02-09,AI Data Fabric,
Nexora,Strategic Account Manager,https://careers.nexora.io/jobs/104,"Berlin, Germany",2026-03-03,50,Sales,Senior,AI Data Fabric,Data Platform,data_platform,Data Platform,Data Platform,11.1,2.46,2026-03-01,2026-03-06,AI Data Fabric,
Nexora,"Data Analyst, Revenue Operations",https://careers.nexora.io/jobs/105,"Chicago, IL",2026-04-09,13,Data/Analytics,IC,AI Data Fabric,Data/Analytics,data_analytics,Data,Data/Analytics,3.7,3.23,2026-04-09,2026-04-14,AI Data Fabric,
